movie_name,release_year,certificate,duration,genre,star,metascore,votes
Pretend It's a City,2021,TV-14,203 min,"Documentary, Biography, Comedy",8.1,nil,"5,671"
The Great Indian Kitchen,2021,not rated,100 min,"Comedy, Drama",8.3,nil,"5,583"
 The Walking Dead,2010–2022,TV-MA,40 min,"Drama, Horror, Thriller",5.1,nil,"5,582"
" Love, Death & Robots",2019– ,TV-MA,11 min,"Animation, Short, Comedy",7.0,nil,"5,565"
Dracula,2021– ,not rated,nil,"Comedy, Drama",8.8,nil,"5,499"
The Hitman's Wife's Bodyguard,2021,R,100 min,"Action, Comedy, Crime",6.5,32        ,"5,488"
The Sons of Sam: A Descent into Darkness,2021,TV-MA,239 min,"Documentary, Crime, History",7.0,nil,"5,433"
 Aspirants,2021– ,not rated,45 min,Drama,9.7,nil,"5,428"
" Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",7.0,nil,"5,399"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"5,397"
Krack,2021,Not Rated,154 min,"Action, Crime, Thriller",7.3,nil,"5,261"
" Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",6.6,nil,"5,219"
November Story,2021– ,not rated,40 min,"Crime, Thriller",8.0,nil,"5,195"
 Invincible,2021– ,TV-MA,46 min,"Animation, Action, Adventure",9.3,nil,"5,189"
The Last Hour,2021– ,not rated,36 min,"Crime, Drama, Mystery",7.5,nil,"5,187"
Made for Love,2021– ,TV-MA,30 min,"Comedy, Drama, Sci-Fi",6.9,nil,"5,118"
The Ice Road,2021,PG-13,109 min,"Adventure, Drama, Thriller",5.5,43        ,"5,068"
Hacks,2021– ,TV-MA,30 min,"Comedy, Drama",8.3,nil,"5,034"
The Priest,I 2021,not rated,140 min,"Horror, Mystery, Thriller",6.6,nil,"5,032"
Young Rock,2021– ,TV-PG,nil,Comedy,7.1,nil,"5,015"
Maharani,2021– ,not rated,43 min,Drama,7.5,nil,"4,931"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.5,nil,"4,846"
 Invincible,2021– ,TV-MA,44 min,"Animation, Action, Adventure",8.6,nil,"4,807"
 The Walking Dead,2010–2022,TV-MA,44 min,"Drama, Horror, Thriller",6.2,nil,"4,793"
Flora & Ulysses,2021,PG,95 min,"Adventure, Comedy, Family",6.3,62        ,"4,781"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"4,774"
 The Walking Dead,2010–2022,TV-MA,42 min,"Drama, Horror, Thriller",7.3,nil,"4,745"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,732"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.8,nil,"4,716"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.8,nil,"4,682"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,668"
Murder Among the Mormons,2021,TV-14,160 min,"Documentary, Crime, History",7.0,nil,"4,644"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.5,nil,"4,630"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.7,nil,"4,626"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,616"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,616"
